"Note: This is a sample of the player file and includes only 1,500 players. The full version is over 10,000.",,,,,,,,,,,,,,,,,,,,,,,,,,
player,fname,lname,pname,pos1,pos2,height,weight,dob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,start,cteam,posd,jnum,dcp,nflid,pimg
AB-0600,Antwan,Barnes,A.Barnes,LB,,73,251,10/19/1984,4.43,31,35,122,4.32,7.29,0,0,134,Florida International,Sun Belt,2007,INA,INA,0,0,2495543,BAR240987.png
AB-0650,Anthony,Barr,A.Barr,LB,,77,255,3/18/1992,4.56,19,34.5,125,4.19,6.82,33.5,9.375,9,UCLA,Pacific 12,2014,MIN,SLB,55,1,2543459,BAR550678.png
AB-0675,Alex,Barrett,A.Barrett,DL,,75,260,3/6/1994,4.97,21,30,109,4.42,7.41,0,0,0,San Diego State,Mountain West (MWC),2017,DET,PS,79,5,2559140,BAR589801.png
AB-0700,Alex,Barron,A.Barron,OL,,79,320,9/28/1982,5.27,21,38,112,4.57,7.83,0,0,19,Florida State,Atlantic Coast (ACC),2005,INA,INA,0,0,2506358,BAR656227.png
AB-0800,Arnaz,Battle,A.Battle,WR,,73,217,2/22/1980,4.58,0,35,117,4.06,6.74,0,0,197,Notre Dame,FBS Independents,2003,INA,INA,0,0,2505571,BAT409475.png
AB-0900,Ainsley,Battles,A.Battles,DB,,71,204,11/6/1978,0,0,0,0,0,0,0,0,0,Vanderbilt,Southeastern (SEC),2000,INA,INA,0,0,2503981,BAT664343.png
AB-0950,Alan,Baxter,A.Baxter,LB,,72,238,3/28/1991,4.77,22,30,111,4.84,7.23,0,0,0,Northern Illinois,Mid-American (MAC),2013,INA,INA,0,0,2541683,BAX499578.png
AB-0975,Alex,Bayer,A.Bayer,TE,,76,258,11/8/1990,4.78,20,31.5,111,4.42,7.26,32.625,9.75,0,Bowling Green,Mid-American (MAC),2014,INA,INA,0,0,2550424,BAY012833.png
AB-0987,Alex,Bazzie,A.Bazzie,LB,,73,227,8/5/1990,4.87,19,35,118,4.48,7.29,0,0,0,Marshall,Conference USA (C-USA),2017,INA,INA,0,0,2558294,BAZ811707.png
AB-1000,Aaron,Beasley,A.Beasley,DB,,72,205,7/7/1973,0,0,0,0,0,0,0,0,63,West Virginia,Big East,1996,INA,INA,0,0,2499587,BEA432476.png
AB-1100,Anthony,Becht,A.Becht,TE,,77,272,8/8/1977,4.78,0,33.5,123,4.08,6.94,0,0,27,West Virginia,Big East,2000,INA,INA,0,0,2504099,BEC035999.png
AB-1150,Adrian,Bellard,A.Bellard,OL,,77,307,8/7/1994,5.49,15,26,93,5.03,8.08,0,0,0,Texas State,Sun Belt,2016,INA,INA,0,0,2556838,BEL670483.png
AB-1200,Arrelious,Benn,A.Benn,WR,,73,220,9/8/1988,4.57,20,27.5,121,4.32,6.78,32.25,9.375,39,Illinois,Big Ten,2010,JAC,LWR,17,2,497270,BEN192067.png
AB-1300,Adam,Bergen,A.Bergen,TE,,76,263,9/3/1983,4.78,25,38,121,4.11,7.12,0,0,0,Lehigh,,2005,INA,INA,0,0,2506243,BER058516.png
AB-1400,Aaron,Berry,A.Berry,DB,,71,180,6/25/1988,4.48,11,36,123,3.99,6.61,0,0,0,Pittsburgh,Big East,2010,INA,INA,0,0,2507891,BER457560.png
AB-1500,Antoine,Bethea,A.Bethea,DB,,71,203,7/27/1984,4.39,19,36.5,127,4.13,6.99,0,0,207,Howard,Mid-Eastern Athletic (MEAC),2006,ARI,SS,41,1,2495807,BET074391.png
AB-1600,Atari,Bigby,A.Bigby,DB,,71,211,9/19/1981,4.65,19,35,112,4.11,7,0,0,0,Central Florida,Mid-American (MAC),2005,INA,INA,0,0,2506329,BIG264860.png
AB-1625,Adam,Bighill,A.Bighill,LB,,69,225,10/16/1988,4.59,24,33,110,4.3,6.99,0,0,0,Central Washington,,2017,NO,PS,99,5,2558295,BIG705650.png
AB-1650,Andrew,Billings,A.Billings,DL,,73,311,3/6/1995,5,31,27.5,113,4.78,7.74,33,10,122,Baylor,Big 12,2016,CIN,NT,99,2,2555267,BIL462662.png
AB-1700,Armon,Binns,A.Binns,WR,,75,209,9/8/1989,4.5,13,33.5,121,4.31,6.86,32.5,9.5,0,Cincinnati,Big East,2011,INA,INA,0,0,2495446,BIN720265.png
AB-1750,Adam,Bisnowaty,A.Bisnowaty,OL,,78,304,12/14/1993,5.23,23,29.5,96,4.88,8.02,33.875,11.375,200,Pittsburgh,Atlantic Coast (ACC),2017,NYG,PS,66,1,2557834,BIS709768.png
AB-1800,Ahmad,Black,A.Black,DB,,69,190,12/12/1989,4.7,18,36.5,119,4.12,6.77,31,9.875,151,Florida,Southeastern (SEC),2011,INA,INA,0,0,2495122,BLA003243.png
AB-1900,Avion,Black,A.Black,WR,,71,185,4/24/1977,4.42,0,0,0,0,0,0,0,121,Tennessee State,Ohio Valley,2000,INA,INA,0,0,2504172,BLA008651.png
AB-1925,Angelo,Blackson,A.Blackson,DL,,76,318,11/14/1992,4.97,21,31,101,4.57,7.5,33.75,9.75,100,Auburn,Southeastern (SEC),2015,NE,PS,94,2,2552670,BLA326665.png
AB-1950,Antwon,Blake,A.Blake,DB,,69,198,8/8/1990,4.32,21,39,121,4.09,7.04,0,0,0,Texas-El Paso,Conference USA (C-USA),2012,INA,INA,0,0,2534566,BLA573701.png
AB-1962,Akil,Blount,A.Blount,LB,,74,239,7/12/1994,4.61,30,40,113,4.24,7.15,0,0,0,Florida A&M,Mid-Eastern Athletic (MEAC),2016,INA,INA,0,0,2556474,BLO321732.png
AB-1975,Alfred,Blue,A.Blue,RB,,74,223,4/27/1991,4.58,13,32,121,4.5,7.15,32.375,9.875,181,LSU,Southeastern (SEC),2014,HOU,RB,28,2,2543600,BLU106654.png
AB-1987,Austin,Blythe,A.Blythe,OL,,74,298,6/16/1992,5.34,29,31.5,99,4.46,7.52,30.25,9.375,248,Iowa,Big Ten,2016,LA,C,66,2,2555180,BLY611687.png
AB-2000,Anquan,Boldin,A.Boldin,WR,,73,220,10/3/1980,4.72,0,33.5,114,4.33,7.35,30,9.875,54,Florida State,Atlantic Coast (ACC),2003,INA,INA,0,0,2505587,BOL283010.png
AB-2025,Al,Bond,A.Bond,OL,,76,303,3/5/1992,5.45,22,24,91,4.65,7.9,0,0,0,Memphis,American Athletic,2015,INA,INA,0,0,2553495,BON090600.png
AB-2050,Alan,Bonner,A.Bonner,WR,,70,193,11/5/1990,4.5,14,33,117,4.09,7.04,30.25,9.375,195,Jacksonville State,Ohio Valley,2013,INA,INA,0,0,2540260,BON589081.png
AB-2075,Andrew,Bonnet,A.Bonnet,RB,,75,250,12/27/1992,4.92,22,0,0,0,0,0,0,0,North Dakota State,Missouri Valley,2016,INA,INA,0,0,2556844,BON651660.png
AB-2100,Alex,Boone,A.Boone,OL,,80,300,5/4/1987,5.16,33,27.5,103,4.69,7.83,0,0,0,Ohio State,Big Ten,2009,ARI,LG,71,2,71211,BOO259235.png
AB-2200,Alfonso,Boone,A.Boone,DL,,76,318,1/11/1976,0,0,0,0,0,0,0,0,253,Central State,,2001,INA,INA,0,0,2504240,BOO264860.png
AB-2225,Andrew,Bose,A.Bose,LB,,74,232,6/7/1993,4.71,25,35,122,4.37,7.2,0,0,0,Rhode Island,Colonial Athletic (CAA),2015,INA,INA,0,0,2553899,BOS198481.png
AB-2250,A.J.,Bouye,A.Bouye,DB,LB,72,186,8/16/1991,4.57,18,36.5,125,4.04,7.06,0,0,0,Central Florida,Conference USA (C-USA),2013,JAC,RCB,21,1,2541162,BOU651714.png
AB-2300,Alvin,Bowen,A.Bowen,LB,,73,220,12/24/1983,4.79,15,34,119,4.3,7.1,0,0,147,Iowa State,Big 12,2010,INA,INA,0,0,2342,BOW096204.png
AB-2400,Andy,Bowers,A.Bowers,DL,,77,283,2/22/1976,4.83,0,0,0,0,0,0,0,0,Utah,Mountain West (MWC),2001,INA,INA,0,0,2504437,BOW185145.png
AB-2500,Allen,Bradford,A.Bradford,RB,LB,71,235,8/31/1988,4.53,28,29,113,4.39,6.97,32.125,9.375,187,USC,Pacific 10,2011,INA,INA,0,0,2495125,BRA094086.png
AB-2600,Ahmad,Bradshaw,A.Bradshaw,RB,,69,214,3/19/1986,4.55,0,34,112,4.09,6.7,0,0,250,Marshall,Conference USA (C-USA),2007,INA,INA,0,0,2495560,BRA254359.png
AB-2700,Alan,Branch,A.Branch,DL,,78,325,12/29/1984,5.07,33,27.5,107,4.79,7.56,0,0,33,Michigan,Big Ten,2007,NE,DT,97,1,2495561,BRA489251.png
AB-2730,Andre,Branch,A.Branch,DL,,76,259,7/14/1989,4.67,19,32.5,120,4.25,7.19,34,9,38,Clemson,Atlantic Coast (ACC),2012,MIA,RDE,50,1,2532801,BRA489900.png
AB-2760,Aaron,Brewer,A.Brewer,OL,,74,225,7/5/1990,4.96,10,27.5,102,4.48,7.27,0,0,0,San Diego State,Mountain West (MWC),2012,ARI,LS,46,1,2535529,BRE611741.png
AB-2800,Anthony,Bright,A.Bright,WR,,73,170,3/28/1977,0,0,0,0,0,0,0,0,0,Valencia,,2002,INA,INA,0,0,2504768,BRI264373.png
AB-2900,Aaron,Brooks,A.Brooks,QB,,76,220,3/24/1976,4.6,0,35.5,120,4.29,7.52,0,0,131,Virginia,Atlantic Coast (ACC),2000,INA,INA,0,0,2499800,BRO114367.png
AB-3000,Ahmad,Brooks,A.Brooks,DB,,68,180,3/13/1980,0,0,0,0,0,0,0,0,0,Texas,Big 12,2002,INA,INA,0,0,2504957,BRO114683.png
AB-3100,Ahmad,Brooks,A.Brooks,LB,,75,259,3/14/1984,4.64,0,0,0,0,0,0,0,0,Virginia,Atlantic Coast (ACC),2006,GB,LOLB,55,2,2507010,BRO114525.png
AB-3200,Aaron,Brown,A.Brown,RB,,72,196,10/10/1985,4.49,16,40,129,4.26,7.22,0,0,192,Texas Christian,Mountain West (MWC),2009,INA,INA,0,0,2507795,BRO238412.png
AB-3300,Alex,Brown,A.Brown,DL,,75,262,6/4/1979,4.74,0,0,0,0,0,0,0,104,Florida,Southeastern (SEC),2002,INA,INA,0,0,2505098,BRO246330.png
AB-3350,Algernon,Brown,A.Brown,RB,,72,250,,4.63,21,33,115,4.31,7.06,0,0,0,Brigham Young,FBS Independents,2017,INA,INA,0,0,2559146,BRO247000.png
AB-3400,Andre,Brown,A.Brown,RB,,72,227,12/15/1986,4.37,24,37,115,4.28,7.08,32,9.5,0,North Carolina State,Atlantic Coast (ACC),2010,INA,INA,0,0,2507790,BRO251022.png
AB-3450,Anthony,Brown,A.Brown,DB,,71,192,12/15/1993,4.32,19,35,115,4.19,7.03,31.75,8.25,189,Purdue,Big Ten,2016,DAL,NB,30,1,2555531,BRO266417.png
AB-3500,Antonio,Brown,A.Brown,WR,,70,186,7/10/1988,4.56,13,33.5,105,4.18,6.98,31,9,195,Central Michigan,Mid-American (MAC),2010,PIT,LWR,84,1,2508061,BRO000001.png
AB-3550,Antonio,Brown,A.Brown,WR,,70,175,3/3/1978,0,0,0,0,0,0,0,0,0,West Virginia,Big East,2003,INA,INA,0,0,2505242,BRO266564.png
AB-3570,Arthur,Brown,A.Brown,LB,,72,241,6/17/1990,4.67,21,32.5,116,4.31,7.07,32.5,10,56,Kansas State,Big 12,2013,INA,INA,0,0,2539245,BRO267826.png
AB-3585,Austin,Brown,A.Brown,DL,,74,280,9/14/1991,4.97,32,32,108,4.49,7.35,0,0,0,Miami (OH),Mid-American (MAC),2014,INA,INA,0,0,2549455,BRO268017.png
AB-3600,Arland,Bruce,A.Bruce,WR,,70,193,11/23/1977,0,0,0,0,0,0,0,0,0,Minnesota,Big Ten,2003,INA,INA,0,0,2503923,BRU041517.png
AB-3700,Anthony,Bryant,A.Bryant,DL,,75,336,11/6/1981,5.06,23,31.5,106,4.72,7.8,0,0,178,Alabama,Southeastern (SEC),2005,INA,INA,0,0,2506513,BRY207580.png
AB-3800,Antonio,Bryant,A.Bryant,WR,,73,192,3/9/1981,4.57,0,37,121,0,0,0,0,63,Pittsburgh,Big East,2002,INA,INA,0,0,2505061,BRY210393.png
AB-3850,Armonty,Bryant,A.Bryant,DL,LB,76,263,5/20/1990,4.69,15,34.5,121,4.43,7.14,35.75,9.75,217,East Central Oklahoma,,2013,DET,SUS,97,1,2540278,BRY213205.png
AB-3862,Aaron,Burbridge,A.Burbridge,WR,,72,206,12/23/1993,4.46,20,30.5,115,4.31,7.22,31.625,8.25,213,Michigan State,Big Ten,2016,SF,RES,13,1,2555362,BUR012358.png
AB-3875,Artie,Burns,A.Burns,DB,,72,193,5/1/1995,4.42,7,33,124,4.33,6.96,33.25,9.5,25,Miami (FL),Atlantic Coast (ACC),2016,PIT,RCB,25,1,2555344,BUR507944.png
AB-3900,Antwon,Burton,A.Burton,DL,,75,315,7/11/1983,5.39,31,31.5,113,0,0,0,0,0,Temple,FBS Independents,2006,INA,INA,0,0,2506633,BUR753059.png
AB-4000,Adam,Butler,A.Butler,DL,,76,301,4/12/1994,5.23,23,28.5,101,4.9,7.51,0,0,0,Vanderbilt,Southeastern (SEC),2017,NE,DT,70,2,2558924,BUT106408.png
AC-0100,Andre,Caldwell,A.Caldwell,WR,RB,72,200,4/15/1985,4.35,18,36.5,124,4.11,6.75,32.25,9,97,Florida,Southeastern (SEC),2008,INA,INA,0,0,206,CAL102494.png
AC-0200,Antoine,Caldwell,A.Caldwell,OL,,75,305,4/19/1986,5.24,23,28,111,5.04,7.96,0,0,77,Alabama,Southeastern (SEC),2009,INA,INA,0,0,71239,CAL118244.png
AC-0225,Austin,Calitro,A.Calitro,LB,,73,239,1/10/1994,4.67,24,34,111,4.31,6.96,0,0,0,Villanova,Colonial Athletic (CAA),2017,INA,INA,0,0,2558925,CAL465470.png
AC-0250,A.J.,Cann,A.Cann,OL,,75,313,10/3/1991,5.47,30,32.5,109,0,0,32.625,10.25,67,South Carolina,Southeastern (SEC),2015,JAC,RG,60,1,2552330,CAN364949.png
AC-0300,Anthony,Cannon,A.Cannon,LB,,70,226,12/31/1984,4.75,0,0,0,0,0,0,0,247,Tulane,Conference USA (C-USA),2006,INA,INA,0,0,2506996,CAN580391.png
AC-0350,Avius,Capers,A.Capers,WR,,69,200,5/30/1992,0,0,0,0,0,0,0,0,0,Johnson C. Smith,,2015,INA,INA,0,0,2554335,CAP097003.png
AC-0375,Amir,Carlisle,A.Carlisle,WR,,70,191,9/24/1992,4.5,17,35,0,4.24,7.39,0,0,0,Notre Dame,FBS Independents,2016,INA,INA,0,0,2556422,CAR106626.png
AC-0387,Austin,Carr,A.Carr,WR,,72,201,12/25/1993,4.62,16,33.5,116,4.07,6.7,0,0,0,Northwestern,Big Ten,2017,NO,RWR,80,3,2558928,CAR343555.png
AC-0400,Adam,Carriker,A.Carriker,DL,,78,296,5/6/1984,4.9,33,33.5,110,4.18,7.06,0,0,13,Nebraska,Big 12,2007,INA,INA,0,0,2495571,CAR485536.png
AC-0500,Alex,Carrington,A.Carrington,DL,LB,77,285,6/19/1987,4.92,26,33,122,4.81,7.64,33.25,10.5,72,Arkansas State,Sun Belt,2010,INA,INA,0,0,496766,CAR486635.png
AC-0600,Ahmad,Carroll,A.Carroll,DB,,71,190,8/4/1983,4.34,15,41,128,0,0,0,0,25,Arkansas,Southeastern (SEC),2004,INA,INA,0,0,2506100,CAR504211.png
AC-0650,Alex,Carter,A.Carter,DB,,72,196,10/19/1994,4.5,17,40,121,4.07,7.05,32.125,9.125,80,Stanford,Pacific 12,2015,INA,INA,0,0,2552587,CAR608019.png
AC-0700,Andre,Carter,A.Carter,DL,LB,76,265,5/12/1979,4.84,20,38.5,132,4.24,0,0,0,7,California,Pacific 10,2001,INA,INA,0,0,2504738,CAR609667.png
AC-0900,Antoine,Cash,A.Cash,LB,,73,223,3/5/1982,0,0,0,0,0,0,0,0,0,Southern Mississippi,Conference USA (C-USA),2005,INA,INA,0,0,2506253,CAS254836.png
AC-1000,Antoine,Cason,A.Cason,DB,,72,195,7/9/1986,4.45,20,35.5,128,4.08,7.07,0,0,27,Arizona,Pacific 10,2008,INA,INA,0,0,208,CAS362242.png
AC-1100,Aveion,Cason,A.Cason,RB,WR,70,204,7/12/1979,4.43,0,0,0,0,0,0,0,0,Illinois State,Missouri Valley,2001,INA,INA,0,0,2504353,CAS365535.png
AC-1200,Anthony,Castonzo,A.Castonzo,OL,,79,305,8/9/1988,5.21,28,29.5,105,4.4,7.25,34.5,10.625,22,Boston College,Atlantic Coast (ACC),2011,IND,LT,74,1,2495137,CAS792239.png
AC-1300,Antonio,Chatman,A.Chatman,WR,,69,177,2/12/1979,0,0,0,0,0,0,0,0,0,Cincinnati,Conference USA (C-USA),2003,INA,INA,0,0,2504428,CHA724223.png
AC-1350,Anthony,Chickillo,A.Chickillo,DL,LB,75,267,12/10/1992,4.79,27,34.5,114,4.25,7.17,33.5,10.125,212,Miami (FL),Atlantic Coast (ACC),2015,PIT,LOLB,56,2,2552266,CHI218488.png
AC-1375,Alex,Chisum,A.Chisum,WR,,75,194,11/6/1992,4.61,19,34.5,122,4.26,7.09,0,0,0,Cincinnati,American Athletic,2016,INA,INA,0,0,2557532,CHI790782.png
AC-1387,Anthony,Cioffi,A.Cioffi,DB,,72,200,8/26/1994,4.55,15,27.5,114,4.24,6.96,0,0,0,Rutgers,Big Ten,2017,INA,INA,0,0,2558930,CIO196395.png
AC-1400,Adrien,Clarke,A.Clarke,OL,,77,330,3/26/1981,5.52,0,26,102,4.79,7.93,0,0,227,Ohio State,Big Ten,2005,INA,INA,0,0,2505913,CLA615633.png
AC-1500,Adrian,Clayborn,A.Clayborn,DL,,75,281,7/6/1988,4.78,17,33,114,4.13,7.08,32.5,9.75,20,Iowa,Big Ten,2011,ATL,LDE,99,2,2495140,CLA770145.png
AC-1600,Anthony,Clement,A.Clement,OL,,80,333,4/10/1976,0,0,0,0,0,0,0,0,36,Louisiana-Lafayette,FBS Independents,1998,INA,INA,0,0,2500104,CLE167954.png
AC-1650,Asante,Cleveland,A.Cleveland,TE,,77,258,3/21/1992,4.89,20,32.5,116,4.45,7.33,34.75,10.25,0,Miami (FL),Atlantic Coast (ACC),2014,LAC,RES,45,1,2550454,CLE667867.png
AC-1700,Avon,Cobourne,A.Cobourne,RB,,68,205,3/6/1979,4.7,21,31.5,112,4.18,7.21,0,0,0,West Virginia,Big East,2003,INA,INA,0,0,2505289,COB794336.png
AC-1800,Antonio,Cochran,A.Cochran,DL,,76,299,6/21/1976,5.12,19,33,112,4.55,7.87,0,0,115,Georgia,Southeastern (SEC),1999,INA,INA,0,0,2500120,COC108154.png
AC-1825,Adrian,Colbert,A.Colbert,DB,,74,205,10/6/1993,4.49,10,33.5,117,4.31,7.24,0,0,229,Miami (FL),Atlantic Coast (ACC),2017,SF,FS,38,3,2558857,COL025635.png
AC-1850,Audie,Cole,A.Cole,LB,,76,239,6/1/1989,4.76,15,35,114,4.29,6.96,32.75,10,210,North Carolina State,Atlantic Coast (ACC),2012,INA,INA,0,0,2532814,COL084915.png
